id,exact+AF8-time+AF8-before+AF8-event,exact+AF8-time+AF8-after+AF8-event,model+AF8-type,val+AF8-fold,in+AF8-channels,hidden+AF8-channels,hidden+AF8-size,kernel+AF8-sizes,d+AF8-model,nhead,num+AF8-layers,bidirectional,dim+AF8-feedforward,dropout+AF8-rate
201040,600,150,LSTM,1,28,128,,,,,5,True,,+ACI-0,3+ACI-
201050,550,200,LSTM,2,28,256,,,,,2,True,,+ACI-0,3+ACI-
201060,450,50,LSTM,1,28,16,,,,,3,False,,+ACI-0,4+ACI-
201070,1300,200,LSTM,2,28,32,,,,,4,True,,+ACI-0,3+ACI-
201080,600,150,LSTM,0,28,64,,,,,5,False,,+ACI-0,3+ACI-
201090,3000,0,LSTM,1,28,128,,,,,2,False,,+ACI-0,5+ACI-
201100,650,100,LSTM,2,28,256,,,,,3,True,,+ACI-0,4+ACI-
201110,500,250,LSTM,0,28,16,,,,,4,False,,+ACI-0,3+ACI-
201120,350,150,LSTM,1,28,32,,,,,5,True,,+ACI-0,3+ACI-
201130,1400,100,LSTM,2,28,64,,,,,2,True,,+ACI-0,5+ACI-
201140,450,50,LSTM,0,28,128,,,,,3,False,,+ACI-0,5+ACI-
201150,2500,0,LSTM,1,28,256,,,,,4,True,,+ACI-0,5+ACI-
201160,2300,200,LSTM,2,28,16,,,,,5,False,,+ACI-0,5+ACI-
201170,800,200,LSTM,0,28,32,,,,,2,False,,+ACI-0,4+ACI-
201180,150,100,LSTM,1,28,64,,,,,3,True,,+ACI-0,3+ACI-
201190,2900,100,LSTM,2,28,128,,,,,4,False,,+ACI-0,4+ACI-
201200,350,150,LSTM,0,28,256,,,,,5,True,,+ACI-0,4+ACI-
201210,200,50,LSTM,1,28,16,,,,,2,True,,+ACI-0,5+ACI-
201220,900,100,LSTM,2,28,32,,,,,3,False,,+ACI-0,5+ACI-
201230,2900,100,LSTM,0,28,64,,,,,4,True,,+ACI-0,5+ACI-
201240,2800,200,LSTM,1,28,128,,,,,5,False,,+ACI-0,5+ACI-
201250,250,0,LSTM,2,28,256,,,,,2,False,,+ACI-0,4+ACI-
201260,2800,200,LSTM,0,28,16,,,,,3,True,,+ACI-0,5+ACI-
201270,250,0,LSTM,0,28,32,,,,,4,False,,+ACI-0,3+ACI-
201280,1400,100,LSTM,0,28,64,,,,,5,True,,+ACI-0,3+ACI-
201290,700,50,LSTM,1,28,128,,,,,2,True,,+ACI-0,5+ACI-
201300,150,100,LSTM,2,28,256,,,,,3,False,,+ACI-0,5+ACI-
201310,2000,0,LSTM,0,28,16,,,,,4,True,,+ACI-0,3+ACI-
201320,2700,300,LSTM,1,28,32,,,,,5,False,,+ACI-0,3+ACI-
201330,3000,0,LSTM,2,28,64,,,,,2,False,,+ACI-0,5+ACI-
201340,700,300,LSTM,0,28,128,,,,,3,True,,+ACI-0,4+ACI-
201350,650,100,LSTM,1,28,256,,,,,4,False,,+ACI-0,4+ACI-
201360,2400,100,LSTM,2,28,16,,,,,5,True,,+ACI-0,4+ACI-
201370,1900,100,LSTM,0,28,32,,,,,2,True,,+ACI-0,5+ACI-
201380,100,0,LSTM,2,28,64,,,,,3,False,,+ACI-0,4+ACI-
201390,2800,200,LSTM,0,28,128,,,,,4,True,,+ACI-0,5+ACI-
201400,2400,100,LSTM,1,28,256,,,,,5,False,,+ACI-0,3+ACI-
201410,750,0,LSTM,2,28,16,,,,,2,False,,+ACI-0,3+ACI-
201420,250,0,LSTM,0,28,32,,,,,3,True,,+ACI-0,3+ACI-
201430,1400,100,LSTM,1,28,64,,,,,4,False,,+ACI-0,5+ACI-
201440,550,200,LSTM,0,28,128,,,,,5,True,,+ACI-0,4+ACI-
201450,1700,300,LSTM,1,28,256,,,,,2,True,,+ACI-0,3+ACI-
201460,1800,200,LSTM,2,28,16,,,,,3,False,,+ACI-0,3+ACI-
201470,1000,0,LSTM,0,28,32,,,,,4,True,,+ACI-0,5+ACI-
201480,450,300,LSTM,2,28,64,,,,,5,False,,+ACI-0,4+ACI-
201490,550,200,LSTM,0,28,128,,,,,2,False,,+ACI-0,3+ACI-
201500,700,300,LSTM,1,28,256,,,,,3,True,,+ACI-0,5+ACI-
201510,350,150,LSTM,2,28,16,,,,,4,False,,+ACI-0,3+ACI-
201520,1500,0,LSTM,0,28,32,,,,,5,True,,+ACI-0,5+ACI-
201530,3000,0,LSTM,1,28,64,,,,,2,True,,+ACI-0,4+ACI-
201540,450,50,LSTM,2,28,128,,,,,3,False,,+ACI-0,5+ACI-
201550,300,200,LSTM,0,28,256,,,,,4,True,,+ACI-0,5+ACI-
201560,900,100,LSTM,1,28,16,,,,,5,False,,+ACI-0,4+ACI-
201570,1700,300,LSTM,2,28,32,,,,,2,False,,+ACI-0,3+ACI-
201580,2200,300,LSTM,0,28,64,,,,,3,True,,+ACI-0,5+ACI-
201590,2500,0,LSTM,2,28,128,,,,,4,False,,+ACI-0,3+ACI-
201600,1700,300,LSTM,0,28,256,,,,,5,True,,+ACI-0,5+ACI-
201610,450,50,LSTM,2,28,16,,,,,2,True,,+ACI-0,4+ACI-
201620,300,200,LSTM,0,28,32,,,,,3,False,,+ACI-0,3+ACI-
